entry_index,entry_price,num_trades,sl_hits,total_pnl
5,66966.2295,984,0,490.8737943914773
6,68975.216385,976,0,488.77276800745585
7,66905.95989345,982,0,494.4865732419762
12,70916.6503714,972,0,480.7380480703807
15,73044.14988254,968,0,471.23589293431104
21,79817.3147687,956,0,439.26006902207865
22,82211.83421176,952,0,427.36826769717703
25,84678.18923811,948,0,414.8193695023878
31,92530.14369159,936,0,372.96888788230586
41,107267.79667291,916,0,287.48783355145434
42,110485.8305731,912,0,267.74994973986685
45,113800.4054903,908,0,247.0514692314565
46,117214.417655,904,0,225.35552409109695
47,117214.417655,904,0,225.35552409109695
51,124352.77569019,896,0,178.81685173336714
52,128083.3589609,892,0,153.89330930475788
75,150000.0,0,0,0
78,150000.0,0,0,0
79,150000.0,0,0,0
80,150000.0,0,0,0
81,150000.0,0,0,0
87,150000.0,0,0,0
89,150000.0,0,0,0
91,150000.0,0,0,0
94,150000.0,0,0,0
100,150000.0,0,0,0
107,150000.0,0,0,0
108,150000.0,0,0,0
109,150000.0,0,0,0
111,150000.0,0,0,0
112,150000.0,0,0,0
113,150000.0,0,0,0
115,150000.0,0,0,0
119,150000.0,0,0,0
120,150000.0,0,0,0
121,150000.0,0,0,0
125,150000.0,0,0,0
128,150000.0,0,0,0
133,150000.0,0,0,0
134,150000.0,0,0,0
140,150000.0,0,0,0
157,150000.0,0,0,0
159,150000.0,0,0,0
167,150000.0,0,0,0
168,150000.0,0,0,0
176,150000.0,0,0,0
186,150000.0,0,0,0
193,150000.0,0,0,0
198,150000.0,0,0,0
204,150000.0,0,0,0
211,150000.0,0,0,0
214,150000.0,0,0,0
221,150000.0,0,0,0
222,150000.0,0,0,0
229,150000.0,0,0,0
236,150000.0,0,0,0
237,150000.0,0,0,0
242,150000.0,0,0,0
247,150000.0,0,0,0
251,150000.0,0,0,0
258,150000.0,0,0,0
260,150000.0,0,0,0
268,150000.0,0,0,0
284,150000.0,0,0,0
288,150000.0,0,0,0
292,150000.0,0,0,0
302,150000.0,0,0,0
305,150000.0,0,0,0
317,150000.0,0,0,0
327,150000.0,0,0,0
343,150000.0,0,0,0
346,150000.0,0,0,0
347,150000.0,0,0,0
348,150000.0,0,0,0
353,150000.0,0,0,0
356,150000.0,0,0,0
358,150000.0,0,0,0
359,150000.0,0,0,0
360,150000.0,0,0,0
366,150000.0,0,0,0
370,150000.0,0,0,0
371,150000.0,0,0,0
373,150000.0,0,0,0
376,150000.0,0,0,0
380,150000.0,0,0,0
382,150000.0,0,0,0
385,150000.0,0,0,0
388,150000.0,0,0,0
399,150000.0,0,0,0
400,150000.0,0,0,0
401,150000.0,0,0,0
402,150000.0,0,0,0
405,150000.0,0,0,0
407,150000.0,0,0,0
408,150000.0,0,0,0
411,150000.0,0,0,0
416,150000.0,0,0,0
427,150000.0,0,0,0
428,150000.0,0,0,0
434,150000.0,0,0,0
