timestamp,price,atr
0,68025.36000000,
1,67901.94000000,
2,68244.33000000,
3,67508.61000000,
4,69037.35000000,
5,65928.33000000,
6,69224.74650000,
7,65763.50917500,
8,69051.68463375,
9,65599.10040206,
10,68879.05542217,
11,66149.46000001,
12,69456.93300001,
13,72929.77965001,
14,76576.26863251,
15,80405.08206414,
16,84425.33616734,
17,88646.60297571,
18,93078.93312450,
19,97732.87978072,
20,102619.52376976,
21,107750.49995825,
22,113138.02495616,
23,118794.92620397,
24,124734.67251416,
25,130971.40613987,
26,137519.97644687,
27,144395.97526921,
28,151615.77403267,
29,159196.56273430,
30,167156.39087102,
31,175514.21041457,
32,184289.92093530,
33,193504.41698206,
34,203179.63783117,
35,213338.61972272,
36,224005.55070886,
37,235205.82824430,
38,246966.11965652,
39,259314.42563934,
40,272280.14692131,
41,285894.15426738,
42,300188.86198075,
43,315198.30507978,
44,330958.22033377,
45,347506.13135046,
46,364881.43791798,
47,383125.50981388,
48,402281.78530458,
49,422395.87456981,
50,443515.66829830,
51,465691.45171321,
52,488976.02429887,
53,513424.82551382,
54,539096.06678951,
55,566050.87012898,
56,594353.41363543,
57,624071.08431720,
58,655274.63853306,
59,688038.37045972,
60,722440.28898270,
61,758562.30343184,
62,796490.41860343,
63,836314.93953360,
64,878130.68651028,
65,922037.22083580,
66,968139.08187759,
67,1016546.03597146,
68,1067373.33777004,
69,1120742.00465854,
70,1176779.10489147,
71,1235618.06013604,
72,1297398.96314284,
73,1362268.91129998,
74,1430382.35686498,
75,1501901.47470823,
76,1576996.54844364,
77,1655846.37586583,
78,1738638.69465912,
79,1825570.62939207,
80,1916849.16086168,
81,2012691.61890476,
82,2113326.19985000,
83,2218992.50984250,
84,2329942.13533463,
85,2446439.24210136,
86,2568761.20420642,
87,2697199.26441675,
88,2832059.22763758,
89,2973662.18901946,
90,3122345.29847044,
91,3278462.56339396,
92,3442385.69156366,
93,3614504.97614184,
94,3795230.22494893,
95,3984991.73619638,
96,4184241.32300620,
97,4393453.38915651,
98,4613126.05861433,
99,4843782.36154505,
100,5085971.47962230,
101,5340270.05360342,
102,5607283.55628359,
103,5887647.73409777,
104,6182030.12080266,
105,6491131.62684279,
106,6815688.20818493,
107,7156472.61859418,
108,7514296.24952389,
109,7890011.06200008,
110,8284511.61510009,
111,8698737.19585509,
112,9133674.05564785,
113,9590357.75843024,
114,10069875.64635175,
115,10573369.42866934,
116,11102037.90010281,
117,11657139.79510795,
118,12239996.78486335,
119,12851996.62410652,
120,13494596.45531184,
121,14169326.27807743,
122,14877792.59198131,
123,15621682.22158037,
124,16402766.33265939,
125,17222904.64929236,
126,18084049.88175698,
127,18988252.37584483,
128,19937664.99463707,
129,20934548.24436893,
130,21981275.65658737,
131,23080339.43941674,
132,24234356.41138758,
133,25446074.23195696,
134,26718377.94355481,
135,28054296.84073255,
136,29457011.68276918,
137,30929862.26690764,
138,32476355.38025302,
139,34100173.14926568,
140,35805181.80672896,
141,37595440.89706541,
142,39475212.94191868,
143,41448973.58901461,
144,43521422.26846535,
145,45697493.38188862,
146,47982368.05098306,
147,50381486.45353221,
148,52900560.77620883,
149,55545588.81501927,
150,58322868.25577024,
151,61239011.66855875,
152,64300962.25198670,
153,67516010.36458604,
154,70891810.88281535,
155,74436401.42695612,
156,78158221.49830392,
157,82066132.57321912,
158,86169439.20188008,
159,90477911.16197409,
160,95001806.72007279,
161,99751897.05607644,
162,104739491.90888026,
163,109976466.50432429,
164,115475289.82954051,
165,121249054.32101753,
166,127311507.03706841,
167,133677082.38892184,
168,140360936.50836793,
169,147378983.33378634,
170,154747932.50047567,
171,162485329.12549946,
172,170609595.58177444,
173,179140075.36086318,
174,188097079.12890634,
175,197501933.08535168,
176,207377029.73961926,
177,217745881.22660023,
178,228633175.28793025,
179,240064834.05232677,
180,252068075.75494313,
181,264671479.54269031,
182,277905053.51982486,
183,291800306.19581610,
184,306390321.50560689,
185,321709837.58088726,
186,337795329.45993161,
187,354685095.93292820,
188,372419350.72957462,
189,391040318.26605338,
190,410592334.17935604,
191,431121950.88832384,
192,452678048.43274003,
193,475311950.85437703,
194,499077548.39709592,
195,524031425.81695074,
196,550232997.10779834,
197,577744646.96318829,
198,606631879.31134772,
