timestamp,price,atr
1600000000,68025.36000000,47.54
1600000001,67901.94000000,47.00
1600000002,68244.33000000,45.28
1600000003,67508.61000000,42.75
1600000004,69037.35000000,40.00
1600000005,65928.33000000,38.19
1600000006,72204.54000000,35.75
1600000007,59629.89000000,33.56
1600000008,84740.01000000,32.23
1600000009,34446.96000000,32.21
1600000010,135084.84000001,29.88
1600000011,-66149.46000001,27.38
1600000012,336312.45000002,25.80
1600000013,-468446.52000005,27.75
1600000014,1141233.81000010,29.40
1600000015,-2078031.57000019,28.64
1600000016,4360465.23000038,27.91
1600000017,-8516577.84000076,27.76
1600000018,17237565.72000152,25.92
1600000019,-34270746.24000304,25.10
1600000020,68745995.07000607,25.60
1600000021,-137287599.39001215,27.63
1600000022,274779568.83002424,26.37
1600000023,-549354773.64004850,24.68
1600000024,1098913976.31009698,23.70
1600000025,-2197623359.22019386,26.21
1600000026,4395451388.13038826,25.62
1600000027,-8790698110.08077431,23.60
1600000028,17581600840.65155029,23.10
1600000029,-35162997005.76309967,22.38
1600000030,70326198666.00622559,20.99
1600000031,-140652192683.50244141,19.13
1600000032,281304590035.52490234,17.94
1600000033,-562608975403.96984863,16.26
1600000034,1125218155425.27978516,16.03
1600000035,-2250436106219.83935547,15.23
1600000036,4500872417124.03906250,15.94
1600000037,-9001744629624.28906250,15.83
1600000038,18003489463873.17578125,14.89
1600000039,-36006978723152.03125000,13.72
1600000040,72013957650858.25000000,12.93
1600000041,-144027915097315.06250000,15.91
1600000042,288055830399037.43750000,15.39
1600000043,-576111660593791.75000000,17.07
1600000044,1152223321391926.25000000,18.30
1600000045,-2304446642579521.00000000,17.07
1600000046,4608893285363273.00000000,17.71
1600000047,-9217786570522344.00000000,15.98
1600000048,18435573141248840.00000000,15.08
1600000049,-36871146282293480.00000000,16.34
1600000050,73742292564791072.00000000,16.91
1600000051,-147484585129378016.00000000,16.60
1600000052,294969170258960000.00000000,18.62
1600000053,-589938340517715840.00000000,18.17
1600000054,1179876681035635712.00000000,16.96
1600000055,-2359753362071067136.00000000,15.48
1600000056,4719506724142338048.00000000,14.14
1600000057,-9439013448284473344.00000000,12.86
1600000058,18878026896569147392.00000000,12.62
1600000059,-37756053793138089984.00000000,11.96
1600000060,75512107586276392960.00000000,13.59
1600000061,-151024215172552589312.00000000,14.86
1600000062,302048430345105375232.00000000,16.65
1600000063,-604096860690210619392.00000000,18.34
1600000064,1208193721380421500928.00000000,17.93
1600000065,-2416387442760842477568.00000000,19.28
1600000066,4832774885521684955136.00000000,17.51
1600000067,-9665549771043369910272.00000000,17.21
1600000068,19331099542086739820544.00000000,17.31
1600000069,-38662199084173479641088.00000000,16.05
1600000070,77324398168346959282176.00000000,15.04
1600000071,-154648796336693918564352.00000000,15.97
1600000072,309297592673387837128704.00000000,16.46
1600000073,-618595185346775674257408.00000000,16.48
1600000074,1237190370693551348514816.00000000,17.74
1600000075,-2474380741387102697029632.00000000,19.63
1600000076,4948761482774205394059264.00000000,20.38
1600000077,-9897522965548410788118528.00000000,19.58
