exit_idx,cum_equity
36,1.9546634929473012
36,3.9034629954157607
37,7.959220026437995
37,12.002882680488282
38,18.319616520799663
38,24.61762586566482
39,33.36986234415073
39,42.09630842519947
40,52.06332213836764
40,62.00113868012808
41,71.85187588387782
41,81.67392535030906
42,91.41041190619062
42,101.11870836323392
43,110.74292329281545
43,120.33943430615281
44,129.8533111381202
44,139.33995910859204
45,148.7453871795916
45,158.12405063282372
46,167.42287634389157
46,176.69539117595372
47,185.88941920629173
47,195.05757988712799
48,204.1485743669074
48,213.21413510320002
49,222.203820746998
49,231.1684966060521
50,240.05855980845536
50,248.92402780462135
51,257.7161176994627
51,266.4840178445459
52,275.1797473291754
52,283.85168364821885
53,292.452630374149
53,301.03017188791455
54,309.5378792191218
54,318.0225608945371
55,326.4385388346452
55,334.8318625044294
56,343.1575885939482
56,351.46102384657644
57,359.6979440313185
57,367.9129290724362
58,376.0624585441867
58,384.19040103053743
59,392.2539250410066
59,400.296202887891
60,408.2750775369348
60,416.2330397001772
61,424.1285926992315
61,432.00355993258773
62,439.81709134422005
62,447.6103569331233
63,455.3431398875707
63,463.0559703600724
64,470.7092517495968
64,478.342887565327
65,485.91788871718495
65,493.4735449351204
66,500.9714622639132
66,508.4503291897109
67,515.8723348298479
67,523.2755786434697
68,530.6228210624495
68,537.9515844267751
69,545.2251890199595
69,552.480591671057
70,559.6816613385879
70,566.8648006582827
71,573.9944163647626
71,581.1063679361226
72,588.1655892536588
72,595.2074073999878
73,602.197273035173
73,609.1699913430795
74,616.0915196484619
74,622.9961514755519
75,629.8503409461252
75,636.6878799138428
76,643.4757096690643
76,650.2471301411849
77,656.9695603930128
77,663.6758179402742
78,670.3337904476955
78,676.9758222990337
79,683.570260809535
79,690.1489862903727
80,696.6807969687894
80,703.1971179268095
81,709.6671897719735
81,716.1219909907921
82,722.5311962403807
82,728.9253458415196
83,735.2745403654934
83,741.6088901990362
84,747.8989138820407
84,754.1742999063426
85,760.4059770194327
85,766.6232196702416
86,772.7973592322744
86,778.9572637816035
87,785.0746599106351
87,791.1780168157212
88,797.2394490707266
88,803.2870343133894
89,809.2932680266165
89,815.2858434433276
90,821.2376300435832
90,827.1759436465387
91,833.0740209736937
91,838.9588072631772
92,844.8038998741683
92,850.6358801424768
93,856.4286996090725
93,862.2085822362718
94,867.9498274348588
94,873.6783081766224
95,879.3686655702622
95,885.0464278380407
96,890.6865717510358
96,896.3142868847932
97,901.9048797699933
97,907.4832073037414
98,913.0249000028135
98,918.554487923163
99,924.0479199200403
99,929.5294049179836
100,934.9752045857006
100,940.4092123018316
101,945.8079971429471
101,951.1951424063175
102,956.5475192871177
102,961.8884063479198
103,967.1949717265892
103,972.490194482854
104,977.7515346317947
104,983.0016768502804
105,988.2183680727544
105,993.4240036042013
106,998.5966124454635
106,1003.7583054343806
107,1008.8873888874662
107,1014.0056939766116
108,1019.0917996829345
108,1024.1672622126457
109,1029.2109286575608
109,1034.2440848600852
110,1039.2458415635606
110,1044.2372187525325
111,1049.1975864550748
111,1054.1477032102787
112,1059.0671940542472
112,1063.976560401806
113,1068.8556781082505
113,1073.7247956963672
114,1078.5640357375173
114,1083.393398007901
115,1088.1932477754297
115,1092.9833401305254
116,1097.7442790997102
116,1102.4955790658562
117,1107.2180789557506
117,1111.9310563423744
118,1116.6155812721063
118,1121.2906983270739
119,1125.9377049683758
119,1130.5754165296014
120,1135.1853542556814
120,1139.7861078991018
121,1144.359418929955
121,1148.9236551139697
122,1153.4607746582308
122,1157.9889268647087
123,1162.49028325814
123,1166.982778130083
124,1171.4487929707914
124,1175.9060504467511
125,1180.337138727224
125,1184.7595721725588
126,1189.156142408606
126,1193.5441587436637
127,1197.9066131003476
